15.5473 -nan 5.55988 -nan
15.3424 15.3424 5.57114 5.57114
14.5489 14.9457 5.63495 5.60305
15.8586 15.25 5.47355 5.55988
16.1432 15.4733 5.72882 5.60212
15.8476 15.5481 5.18335 5.51836
15.4575 15.533 5.71142 5.55054
15.685 15.5547 5.11892 5.48888
14.117 15.375 5.75307 5.5219
14.3475 15.2609 5.07109 5.47181
14.5809 15.1929 5.64125 5.48876
14.6716 15.1455 5.68747 5.50682
14.7051 15.1088 5.16927 5.47869
15.0827 15.1068 5.45977 5.47724
16.575 15.2116 5.51193 5.47971
17.4158 15.3586 5.01665 5.44884
15.6518 15.3769 5.72089 5.46585
14.2905 15.313 5.88249 5.49035
14.6601 15.2767 5.47039 5.48925
15.0284 15.2637 5.18259 5.47311
15.6552 15.2832 5.59122 5.47901
15.352 15.2865 5.24295 5.46777
15.0158 15.2742 5.35377 5.46259
15.1284 15.2679 5.19067 5.45077
14.2109 15.2238 6.02426 5.47466
14.6419 15.2006 5.55163 5.47774
15.8279 15.2247 5.12806 5.46429
16.2441 15.2624 5.87841 5.47963
14.5484 15.2369 5.54592 5.482
15.4685 15.2449 5.22613 5.47317
15.6111 15.2571 5.12707 5.46164
14.9934 15.2486 5.78999 5.47223
15.6357 15.2607 5.26217 5.46566
14.8579 15.2485 5.56548 5.46869
14.4582 15.2253 5.48369 5.46913
15.139 15.2228 5.20068 5.46146
14.5811 15.205 6.02212 5.47703
14.6203 15.1892 5.71088 5.48335
14.8819 15.1811 5.65503 5.48787
14.6694 15.168 5.23853 5.48148
14.6551 15.1552 5.34505 5.47807
14.4012 15.1368 5.60538 5.48117
14.7777 15.1282 5.65117 5.48522
14.9495 15.1241 5.84207 5.49352
15.2004 15.1258 5.36296 5.49055
15.1735 15.1269 5.44129 5.48946
14.9024 15.122 5.3761 5.48699
15.9432 15.1394 5.2524 5.482
15.1745 15.1402 5.29475 5.4781
15.9141 15.156 5.38318 5.47616
15.3332 15.1595 5.60398 5.47872
13.6453 15.1298 6.00537 5.48905
15.4393 15.1358 5.25348 5.48452
14.7913 15.1293 5.8817 5.49201
16.2903 15.1508 5.04143 5.48367
14.3944 15.137 5.87338 5.49075
15.3822 15.1414 5.42373 5.48956
13.9854 15.1211 5.67836 5.49287
14.8468 15.1164 5.25971 5.48885
14.047 15.0983 5.30235 5.48569
15.501 15.105 5.4557 5.48519
15.5843 15.1128 5.80021 5.49035
14.9135 15.1096 5.32498 5.48768
15.2092 15.1112 5.5463 5.48861
15.0915 15.1109 5.36648 5.48671
13.6521 15.0885 6.0872 5.49594
15.6629 15.0972 5.02068 5.48874
15.2048 15.0988 5.24401 5.48509
14.8274 15.0948 4.78442 5.47479
14.9167 15.0922 5.43877 5.47426
15.9025 15.1038 5.43979 5.47377
15.0759 15.1034 5.38076 5.47246
14.6833 15.0975 5.95892 5.47922
14.8089 15.0936 5.42311 5.47845
16.8619 15.1175 5.36125 5.47687
15.4224 15.1215 5.52988 5.47757
15.3776 15.1249 5.50746 5.47797
13.7918 15.1076 5.77033 5.48176
14.8609 15.1044 5.67721 5.48427
14.9321 15.1023 5.66152 5.48651
14.4427 15.094 5.39827 5.48541
15.3194 15.0968 5.23449 5.48231
15.0832 15.0966 5.18886 5.47873
14.9586 15.095 4.97819 5.4727
15.4055 15.0987 5.18543 5.46928
15.3532 15.1017 5.47666 5.46937
15.632 15.1078 5.72361 5.47233
14.9762 15.1063 5.52342 5.47291
14.6 15.1006 6.16626 5.48079
13.2746 15.08 6.13581 5.48815
15.6138 15.086 5.10524 5.4839
14.8065 15.0829 5.56036 5.48474
15.9848 15.0927 5.25985 5.48229
15.0298 15.092 5.33378 5.4807
13.9475 15.0799 5.81216 5.48422
15.3391 15.0826 4.88598 5.47792
14.2105 15.0735 5.81018 5.48139
16.0557 15.0836 5.39184 5.48046
13.8635 15.0712 6.44687 5.49032
14.3813 15.0642 6.03644 5.49584
