#DISTANCE:      BLOCK_NUMBER:        ACTUAL_POFV:         AVE_POFV:        ERROR:
           0           1  0.00232639  0.00232639           0
    0.133333           1  0.00399306  0.00399306           0
    0.266667           1   0.0125694   0.0125694           0
         0.4           1   0.0389236   0.0389236           0
    0.533333           1   0.0471528   0.0471528           0
    0.666667           1    0.101563    0.101563           0
         0.8           1        0.16        0.16           0
    0.933333           1    0.261042    0.261042           0
     1.06667           1     0.28375     0.28375           0
         1.2           1    0.312951    0.312951           0
     1.33333           1    0.310035    0.310035           0
     1.46667           1    0.333854    0.333854           0
         1.6           1     0.32816     0.32816           0
     1.73333           1    0.389549    0.389549           0
     1.86667           1    0.423229    0.423229           0
           2           1    0.394722    0.394722           0
     2.13333           1     0.38691     0.38691           0
     2.26667           1    0.445556    0.445556           0
         2.4           1     0.57559     0.57559           0
     2.53333           1    0.609618    0.609618           0
     2.66667           1    0.422535    0.422535           0
         2.8           1    0.331181    0.331181           0
     2.93333           1    0.312569    0.312569           0
     3.06667           1    0.218785    0.218785           0
         3.2           1    0.173056    0.173056           0
     3.33333           1    0.108785    0.108785           0
     3.46667           1    0.116285    0.116285           0
         3.6           1     0.11191     0.11191           0
     3.73333           1   0.0594792   0.0594792           0
     3.86667           1   0.0505903   0.0505903           0
           4           1   0.0271528   0.0271528           0
     4.13333           1   0.0380208   0.0380208           0
     4.26667           1   0.0264236   0.0264236           0
         4.4           1   0.0119792   0.0119792           0
     4.53333           1   0.0344097   0.0344097           0
     4.66667           1   0.0154861   0.0154861           0
         4.8           1   0.0106597   0.0106597           0
     4.93333           1  0.00649306  0.00649306           0
     5.06667           1  0.00135417  0.00135417           0
         5.2           1  0.00135417  0.00135417           0
     5.33333           1           0           0           0
     5.46667           1           0           0           0
         5.6           1           0           0           0
     5.73333           1           0           0           0
     5.86667           1           0           0           0
           6           1           0           0           0
     6.13333           1           0           0           0
     6.26667           1           0           0           0
         6.4           1           0           0           0
     6.53333           1           0           0           0
     6.66667           1           0           0           0
         6.8           1           0           0           0
     6.93333           1           0           0           0
     7.06667           1           0           0           0
         7.2           1           0           0           0
     7.33333           1           0           0           0
     7.46667           1           0           0           0
         7.6           1           0           0           0
     7.73333           1           0           0           0
     7.86667           1           0           0           0
           0           2  0.00729167  0.00480903  0.00175549
    0.133333           2   0.0202431   0.0121181  0.00574524
    0.266667           2   0.0472222   0.0298958   0.0122516
         0.4           2   0.0653819   0.0521528  0.00935443
    0.533333           2   0.0963889   0.0717708   0.0174076
    0.666667           2    0.158681    0.130122   0.0201943
         0.8           2    0.252153    0.206076   0.0325809
    0.933333           2    0.311875    0.286458   0.0179723
     1.06667           2    0.268403    0.276076  0.00542606
         1.2           2    0.341632    0.327292   0.0101401
     1.33333           2    0.457014    0.383524    0.051965
     1.46667           2        0.46    0.396927   0.0445993
         1.6           2    0.436493    0.382326   0.0383016
     1.73333           2    0.615104    0.502326   0.0797459
     1.86667           2        0.62    0.521615    0.069569
           2           2      0.5375    0.466111   0.0504796
     2.13333           2    0.534653    0.460781   0.0522351
     2.26667           2    0.451944     0.44875  0.00225881
         2.4           2    0.319028    0.447309   0.0907085
     2.53333           2    0.343507    0.476562   0.0940845
     2.66667           2    0.183056    0.302795   0.0846687
         2.8           2    0.193438    0.262309   0.0486995
     2.93333           2     0.23684    0.274705   0.0267743
     3.06667           2   0.0989236    0.158854   0.0423773
         3.2           2    0.106632    0.139844   0.0234843
     3.33333           2   0.0424653    0.075625   0.0234475
     3.46667           2   0.0327778   0.0745313   0.0295242
         3.6           2   0.0666667   0.0892882   0.0159958
     3.73333           2   0.0227431   0.0411111   0.0129882
     3.86667           2   0.0171875   0.0338889   0.0118097
           4           2  0.00909722    0.018125   0.0063836
     4.13333           2   0.0339236   0.0359722  0.00144859
     4.26667           2   0.0346181   0.0305208  0.00289717
