#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.890756    0.890756           0
           2    0.887032    0.888894  0.00131663
           3    0.929484    0.902424    0.011082
           4    0.926208     0.90837  0.00977739
           5    0.945336    0.915763   0.0102426
           6    0.953196    0.922002   0.0102611
           7    0.903168    0.919311  0.00914115
           8    0.976876    0.926507   0.0104537
           9     0.88942    0.922386   0.0100717
          10    0.898188    0.919966   0.0093507
          11    0.937144    0.921528  0.00863005
          12    0.795816    0.911052   0.0127743
          13    0.961116    0.914903   0.0123585
          14    0.940628    0.916741   0.0116116
          15    0.914648    0.916601   0.0108383
          16    0.553156    0.893886   0.0242277
          17    0.927652    0.895872   0.0228838
          18    0.923904    0.897429   0.0216654
          19    0.929144    0.899099   0.0205893
          20     0.92548    0.900418   0.0196021
          21    0.863708     0.89867   0.0187464
          22     0.93232    0.900199   0.0179566
          23    0.942924    0.902057   0.0172717
          24    0.958488    0.904408   0.0167113
          25    0.951872    0.906307   0.0161504
          26    0.935112    0.907414   0.0155671
          27    0.918264    0.907816   0.0149958
          28    0.949996    0.909323   0.0145357
          29    0.941864    0.910445   0.0140777
          30    0.800872    0.906792   0.0140743
          31    0.952296     0.90826   0.0136966
          32     0.93892    0.909218    0.013302
          33     0.94498    0.910302    0.012943
          34    0.856948    0.908733   0.0126571
          35    0.939536    0.909613    0.012326
          36    0.647492    0.902332   0.0139696
          37    0.924576    0.902933    0.013605
          38    0.856308    0.901706   0.0133022
          39    0.896788     0.90158   0.0129617
          40     0.91118     0.90182   0.0126399
          41    0.910676    0.902036   0.0123334
          42    0.956008    0.903321   0.0121065
          43    0.976452    0.905022   0.0119438
          44    0.853384    0.903848   0.0117299
          45    0.873748    0.903179   0.0114883
          46      0.9786    0.904819    0.011355
          47    0.946556    0.905707    0.011148
          48    0.749464    0.902452   0.0113811
          49     0.93632    0.903143   0.0111698
          50    0.963712    0.904354   0.0110119
           1     0.37116     0.37116           0
           2    0.630064    0.500612   0.0915364
           3    0.665732    0.555652   0.0757863
           4     0.42458    0.522884     0.06353
           5      0.6537    0.549047   0.0559526
           6    0.573276    0.553085   0.0467726
           7    0.628588    0.563871   0.0413158
           8    0.741972    0.586134   0.0417203
           9    0.666588    0.595073   0.0380304
          10    0.680576    0.603624   0.0351754
          11    0.436776    0.588456   0.0350959
          12      0.4468    0.576651   0.0340987
          13    0.615068    0.579606   0.0316036
          14     0.64622    0.584364   0.0297022
          15    0.665148     0.58975   0.0282061
          16       0.588    0.589641   0.0264434
          17    0.444692    0.581114   0.0262265
          18     0.44388     0.57349   0.0258539
          19    0.438256    0.566372   0.0254541
          20    0.411372    0.558622   0.0253338
          21    0.486608    0.555193   0.0243584
          22    0.623744    0.558309   0.0234496
          23     0.50574    0.556023   0.0225412
          24    0.599836    0.557849   0.0216758
          25    0.619924    0.560332   0.0209505
          26    0.509452    0.558375   0.0202359
          27     0.59488    0.559727   0.0195315
          28     0.57788    0.560375   0.0188447
          29     0.63424    0.562922   0.0183662
          30    0.664776    0.566318   0.0180651
          31     0.43582    0.562108   0.0179661
          32    0.657936    0.565103   0.0176525
          33     0.62432    0.566897   0.0172085
          34    0.462784    0.563835   0.0169727
          35    0.381448    0.558624   0.0172692
          36    0.617792    0.560267   0.0168675
          37    0.616012    0.561774   0.0164788
          38    0.512224     0.56047   0.0160966
          39    0.478844    0.558377   0.0158194
          40    0.564024    0.558518   0.0154245
          41      0.4697    0.556352   0.0151997
          42    0.437348    0.553519   0.0150996
          43    0.543368    0.553283   0.0147503
          44    0.345992    0.548571   0.0151487
          45    0.661108    0.551072   0.0150171
          46     0.54266    0.550889   0.0146917
          47    0.578412    0.551475   0.0143908
          48    0.528372    0.550994    0.014099
          49    0.611308    0.552224   0.0138649
          50    0.613516     0.55345   0.0136417
           1    0.392264    0.392264           0
           2    0.328412    0.360338   0.0225751
           3    0.229548    0.316741   0.0386473
           4    0.310216     0.31511   0.0290199
           5    0.260556    0.304199   0.0251836
           6     0.19822    0.286536   0.0264654
           7    0.322308    0.291646   0.0231728
           8     0.25588    0.287176    0.020703
           9     0.27226    0.285518   0.0184688
          10    0.338532     0.29082   0.0173662
          11    0.327732    0.294175   0.0161084
          12    0.294608    0.294211    0.014766
          13    0.229988    0.289271    0.014433
          14    0.311852    0.290884   0.0134919
          15    0.319308    0.292779   0.0127248
          16    0.323164    0.294678   0.0120704
          17    0.227268    0.290713    0.011994
          18    0.321832    0.292442   0.0114516
          19    0.249348    0.290173   0.0110712
          20    0.345876    0.292959   0.0108623
          21    0.237656    0.290325   0.0106595
          22    0.210464    0.286695   0.0107754
          23    0.254004    0.285274   0.0104002
          24    0.308892    0.286258   0.0100133
          25    0.268272    0.285538  0.00963859
          26    0.309356    0.286454  0.00931131
          27    0.313256    0.287447   0.0090192
          28    0.260572    0.286487  0.00874801
          29    0.317316     0.28755   0.0085107
          30    0.268028      0.2869  0.00825185
          31    0.274468    0.286499   0.0079954
          32     0.24272    0.285131  0.00786172
          33    0.351888    0.287153  0.00787946
          34    0.296412    0.287426  0.00765241
          35    0.213472    0.285313  0.00771998
          36    0.306012    0.285888  0.00752691
          37    0.221016    0.284134  0.00752492
          38    0.336216    0.285505  0.00745066
          39    0.309796    0.286128  0.00728561
          40    0.242752    0.285044  0.00718371
          41    0.367608    0.287057  0.00728529
          42    0.256492     0.28633  0.00714809
          43    0.293748    0.286502  0.00698393
          44     0.26552    0.286025  0.00684147
          45    0.270768    0.285686  0.00669783
          46    0.307408    0.286158  0.00656885
          47    0.275748    0.285937  0.00643282
          48    0.313004    0.286501  0.00632347
          49      0.3016    0.286809  0.00620193
          50    0.321468    0.287502   0.0061165
           1    0.158148    0.158148           0
           2    0.159232     0.15869 0.000383252
           3    0.158804    0.158728 0.000257378
           4     0.15548    0.157916 0.000729226
           5    0.163524    0.159038  0.00116048
           6    0.098976    0.149027  0.00918911
           7     0.17484    0.152715  0.00858444
           8     0.14472    0.151715  0.00756933
           9    0.240756    0.161609    0.011501
          10    0.148904    0.160338   0.0104209
          11    0.105144    0.155321    0.010613
          12    0.142772    0.154275  0.00977996
          13    0.189476    0.156983  0.00939503
          14    0.155908    0.156906  0.00872427
          15    0.107608    0.153619  0.00873979
          16    0.164168    0.154279  0.00821839
          17    0.185712    0.156128  0.00794023
          18    0.129096    0.154626   0.0076398
          19    0.213232    0.157711  0.00783568
          20    0.158308     0.15774  0.00744396
          21    0.176276    0.158623  0.00714162
          22    0.199512    0.160482   0.0070547
          23    0.163928    0.160631  0.00674957
          24    0.155496    0.160417  0.00647173
          25    0.127724     0.15911  0.00634361
          26     0.17298    0.159643  0.00612201
          27    0.196368    0.161003  0.00604449
          28    0.217352    0.163016  0.00615451
          29    0.205108    0.164467  0.00611104
          30     0.16276     0.16441  0.00590761
          31    0.152796    0.164036  0.00572891
          32    0.235996    0.166284  0.00597495
          33    0.171012    0.166428  0.00579561
          34    0.168684    0.166494  0.00562553
          35    0.164128    0.166427  0.00546521
          36    0.168436    0.166482  0.00531368
          37     0.21368    0.167758  0.00532098
          38    0.162932    0.167631  0.00518247
          39    0.164528    0.167551  0.00505019
          40    0.212248    0.168669  0.00504605
          41    0.144828    0.168087  0.00495636
          42    0.160248    0.167901  0.00484187
          43    0.203824    0.168736   0.0048008
          44     0.19386    0.169307  0.00472552
          45     0.18406    0.169635  0.00463187
          46    0.167316    0.169585  0.00453145
          47    0.191288    0.170046   0.0044585
          48    0.233112     0.17136   0.0045551
          49    0.134912    0.170616  0.00452246
          50     0.14244    0.170053  0.00446698
           1     0.11688     0.11688           0
           2    0.107168    0.112024  0.00343371
           3     0.12286    0.115636  0.00373334
           4    0.085028    0.107984  0.00719409
           5    0.127208    0.111829  0.00670441
           6    0.113116    0.112043  0.00559044
           7    0.097968    0.110033  0.00514072
           8     0.12006    0.111286  0.00464842
           9    0.118112    0.112044  0.00419335
          10    0.123192    0.113159  0.00391939
          11    0.070168    0.109251  0.00515574
          12    0.127868    0.110802  0.00495402
          13    0.124012    0.111818  0.00467599
          14    0.097976     0.11083   0.0044453
