#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.264013    0.264013           0
           2    0.153815    0.208914   0.0389608
           3      0.1683    0.195376   0.0282282
           4    0.223662    0.202447   0.0220391
           5    0.226232    0.207204   0.0181374
           6    0.246861    0.213814   0.0162743
           7    0.243891    0.218111   0.0145055
           8    0.190131    0.214613   0.0131072
           9    0.166799      0.2093   0.0126819
          10    0.222776    0.210648    0.011485
          11     0.19266    0.209013   0.0105567
          12    0.211533    0.209223  0.00967908
          13    0.217308    0.209845   0.0089545
          14     0.25964    0.213402   0.0089936
          15    0.183265    0.211393  0.00861551
          16    0.187361    0.209891  0.00820691
          17    0.215588    0.210226  0.00773099
          18    0.155412    0.207181  0.00787844
          19    0.171658    0.205311  0.00768241
          20    0.148045    0.202448  0.00781368
          21    0.164552    0.200643  0.00764715
          22    0.171131    0.199302  0.00741628
          23    0.155848    0.197412  0.00733053
          24    0.234419    0.198954  0.00718543
          25    0.217825    0.199709  0.00693755
          26    0.209971    0.200104  0.00668194
          27    0.169928    0.198986  0.00652726
          28      0.2865    0.202112  0.00700258
          29    0.198856    0.201999  0.00676201
          30    0.113966    0.199065  0.00714501
          31    0.177884    0.198382  0.00694712
          32    0.150216    0.196876  0.00689115
          33    0.120059    0.194549  0.00706456
          34    0.170368    0.193837  0.00689248
          35    0.288829    0.196552  0.00721014
          36    0.221588    0.197247  0.00704332
          37    0.164378    0.196359  0.00690875
          38     0.20351    0.196547  0.00672951
          39    0.219633    0.197139  0.00658294
          40    0.222669    0.197777  0.00644923
          41    0.186516    0.197502  0.00629778
          42    0.193162    0.197399  0.00614868
          43    0.201303     0.19749  0.00600636
          44    0.204774    0.197655  0.00587213
          45    0.168253    0.197002  0.00577787
          46    0.241649    0.197973  0.00573321
          47    0.162253    0.197213  0.00566137
          48    0.175759    0.196766  0.00556104
          49    0.224983    0.197342  0.00547729
          50    0.273198    0.198859  0.00557389
           1    0.386318    0.386318           0
           2    0.381231    0.383774  0.00179841
           3    0.353583    0.373711  0.00830405
           4    0.378838    0.374992  0.00632619
           5     0.39028     0.37805   0.0057526
           6    0.366147    0.376066  0.00512451
           7       0.372    0.375485  0.00442524
           8    0.390886     0.37741  0.00427035
           9    0.368328    0.376401  0.00391329
          10     0.37206    0.375967  0.00354596
          11    0.412581    0.379296  0.00452367
          12     0.39032    0.380214  0.00423896
          13    0.409488    0.382466  0.00447116
          14    0.380652    0.382337  0.00415367
          15    0.370358    0.381538  0.00395278
          16    0.375499    0.381161  0.00372371
          17    0.381831      0.3812  0.00350488
          18    0.374839    0.380847  0.00332793
          19    0.370346    0.380294  0.00319834
          20    0.352938    0.378926  0.00331804
          21     0.39713    0.379793  0.00327131
          22    0.379783    0.379792  0.00312262
          23    0.395364    0.380469  0.00305937
          24    0.393371    0.381007  0.00297874
          25    0.375029    0.380768  0.00286917
          26    0.347151    0.379475   0.0030362
          27     0.37971    0.379484  0.00292376
          28    0.372248    0.379225  0.00283074
          29    0.383473    0.379372  0.00273691
          30    0.402932    0.380157  0.00275605
          31    0.363269    0.379612  0.00272046
          32    0.359615    0.378987  0.00270627
          33     0.39108    0.379354  0.00264896
          34    0.363056    0.378874  0.00261405
          35    0.368322    0.378573  0.00255669
          36    0.384439    0.378736  0.00249086
          37    0.365426    0.378376  0.00244938
          38    0.380895    0.378442  0.00238582
          39    0.396715    0.378911   0.0023702
          40    0.383449    0.379024  0.00231366
          41    0.387945    0.379242  0.00226744
          42    0.374072    0.379119  0.00221679
          43    0.378295      0.3791  0.00216532
          44    0.401753    0.379615  0.00217646
          45    0.396258    0.379984  0.00215929
          46    0.388632    0.380172  0.00212051
          47    0.359345    0.379729  0.00212119
          48    0.398057    0.380111  0.00211109
          49     0.40438    0.380606  0.00212531
          50    0.387514    0.380745  0.00208729
           1    0.433418    0.433418           0
           2    0.442802     0.43811  0.00331775
           3     0.43109     0.43577  0.00292277
           4    0.421852     0.43229  0.00372631
           5    0.421042    0.430041  0.00359661
           6    0.435652    0.430976  0.00311639
           7    0.426806     0.43038  0.00272753
           8    0.418652    0.428914  0.00275253
           9    0.426986      0.4287  0.00245502
          10     0.43689    0.429519  0.00234214
          11    0.432412    0.429782  0.00214394
          12    0.437572    0.430431  0.00206122
          13    0.414106    0.429175  0.00225295
          14    0.430458    0.429267  0.00209389
          15    0.432582    0.429488  0.00196593
          16     0.43391    0.429764  0.00186238
          17      0.4324    0.429919  0.00175927
          18    0.423654    0.429571  0.00169562
          19    0.429556    0.429571  0.00160637
          20     0.43088    0.429636  0.00152739
          21     0.44566    0.430399  0.00163418
          22    0.427374    0.430262  0.00156567
          23    0.433764    0.430414  0.00150499
          24    0.416074    0.429816  0.00155637
          25    0.423752    0.429574   0.0015129
          26     0.42946    0.429569  0.00145472
          27     0.41353    0.428975  0.00151729
          28    0.427728    0.428931  0.00146376
          29    0.430022    0.428968  0.00141377
          30    0.419972    0.428669  0.00139809
          31    0.424968    0.428549  0.00135807
          32    0.432412     0.42867  0.00132099
          33    0.416428    0.428299  0.00133203
          34    0.434836    0.428491  0.00130665
          35    0.425542    0.428407  0.00127203
          36    0.419798    0.428168  0.00125898
          37    0.440444      0.4285  0.00126792
          38     0.43851    0.428763  0.00126162
          39    0.430688    0.428812  0.00123024
          40    0.439368    0.429076  0.00122746
          41    0.417524    0.428794  0.00122943
          42    0.431332    0.428855  0.00120164
          43    0.433788     0.42897  0.00117916
          44    0.431908    0.429036  0.00115425
          45    0.437622    0.429227  0.00114426
          46     0.42906    0.429224  0.00111939
          47    0.433558    0.429316  0.00109937
          48    0.429822    0.429326  0.00107652
          49    0.433874    0.429419  0.00105854
          50    0.430748    0.429446   0.0010377
           1    0.420711    0.420711           0
           2    0.425047    0.422879   0.0015329
           3    0.419809    0.421855  0.00132001
           4    0.420407    0.421493  0.00103846
           5    0.422399    0.421674 0.000846406
           6    0.419694    0.421344 0.000767005
           7    0.428367    0.422348  0.00113792
           8    0.421282    0.422214  0.00100344
