#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     70.5059     70.5059           0
           2     84.6941        77.6     5.01631
           3     83.4696     79.5565     3.70617
           4     75.5255     78.5488     2.91342
           5     76.2442     78.0878     2.36691
           6     73.6698     77.3515     2.08382
           7     73.6806     76.8271     1.85094
           8      79.652     77.1802     1.65291
           9     82.6761     77.7908     1.57803
          10     76.4331     77.6551     1.42606
          11     77.5049     77.6414     1.29648
          12     77.4706     77.6272     1.18852
          13     76.5029     77.5407     1.10024
          14     70.2744     77.0217      1.1375
          15     81.7532     77.3371     1.10454
          16     80.3856     77.5276     1.05181
          17     76.7941     77.4845    0.990821
          18     84.9053     77.8968     1.01794
          19     81.4706     78.0848    0.981586
          20     85.1053     78.4359    0.993291
          21     84.1462     78.7078    0.982507
          22     83.0039     78.9031    0.957057
          23     85.1382     79.1742    0.953067
          24     72.6422      78.902    0.951424
          25     76.3757      78.801    0.918717
          26     78.2074     78.7781    0.883666
          27     81.6037     78.8828    0.857112
          28     67.9463     78.4922     0.91116
          29     79.6744      78.533    0.880652
          30     88.5347     78.8663    0.912224
          31     81.3139     78.9453    0.886208
          32     85.6732     79.1555    0.883102
          33     88.7829     79.4473    0.903245
          34      81.355     79.5034     0.87842
          35     68.0434      79.176    0.912307
          36     75.7094     79.0797    0.892033
          37       83.07     79.1875    0.874419
          38     78.0542     79.1577    0.851917
          39       76.44      79.088    0.832918
          40     76.6607     79.0273    0.814302
          41     80.7656     79.0697    0.795544
          42     79.1188     79.0709    0.776604
          43     78.1605     79.0497    0.758832
          44     78.5152     79.0376    0.741683
          45     83.2002     79.1301    0.730946
          46     74.4437     79.0282    0.722121
          47     84.1649     79.1375     0.71498
          48     82.2782     79.2029    0.703072
          49     77.9588     79.1775    0.689182
          50     68.7674     78.9693    0.706147
           1     30.8092     30.8092           0
           2     33.9617     32.3854     1.11457
           3     36.7009     33.8239     1.38984
           4     34.1669     33.9097     1.04502
           5     30.5252     33.2328     1.03222
           6     34.2951     33.4098    0.875236
           7     35.7581     33.7453    0.811953
           8     30.8157     33.3791    0.788727
           9      35.308     33.5934    0.729629
          10     31.9831     33.4324    0.674203
          11     29.5184     33.0766     0.70054
          12     29.9812     32.8186    0.688015
          13      27.938     32.4432    0.730374
          14     32.8431     32.4718    0.678763
          15     33.5054     32.5407       0.637
          16      31.796     32.4941    0.598885
          17     34.2712     32.5987    0.572707
          18     33.7658     32.6635    0.544548
          19     34.2624     32.7477    0.522349
          20     36.1146      32.916    0.522656
          21     31.1654     32.8326    0.504372
          22      33.029     32.8416    0.481525
          23     30.4024     32.7355    0.472123
          24     31.8802     32.6999    0.453794
          25     31.5136     32.6524    0.438116
          26     37.0158     32.8203    0.452268
          27     34.4614      32.881    0.439583
          28     32.6108     32.8714    0.423989
          29     32.1697     32.8472    0.410059
          30     30.8216     32.7797    0.401911
          31     32.7336     32.7782    0.388949
          32     35.3038     32.8571    0.384719
          33     31.9646     32.8301     0.37401
          34      37.332     32.9625    0.385736
          35     34.6973      33.012    0.377886
          36      34.296     33.0477    0.369069
          37       35.03     33.1013    0.362962
          38     34.2703      33.132    0.354712
          39     31.3146     33.0854    0.348664
          40     33.2829     33.0904    0.339983
          41      33.228     33.0937    0.331707
          42     31.5437     33.0568    0.325856
          43     33.7694     33.0734    0.318699
          44     30.5227     33.0154    0.316684
          45     31.5307     32.9824    0.311361
          46     32.3233     32.9681    0.304921
          47     36.3377     33.0398    0.306746
          48     31.8148     33.0143    0.301416
          49     29.6211      32.945    0.303115
          50     31.0681     32.9075    0.299368
           1     14.4985     14.4985           0
           2     14.0743     14.2864    0.149974
           3     14.8307     14.4678     0.17872
           4      15.111     14.6286    0.193277
           5     15.9936     14.9016    0.289007
           6     15.6729     15.0302    0.267906
           7     15.4725     15.0934    0.236969
           8     15.3045     15.1198    0.208813
           9     14.9213     15.0977    0.186772
          10      15.083     15.0962    0.168101
          11     14.3828     15.0314    0.164858
          12     13.4255     14.8976    0.198125
          13     16.5733     15.0265    0.220872
          14     15.5894     15.0667    0.208724
          15     15.2758     15.0806    0.195274
          16     15.1513      15.085     0.18312
          17      14.096     15.0268    0.181354
          18     15.8708     15.0737    0.177236
          19      16.044     15.1248    0.175111
          20     12.6402     15.0006    0.205755
          21     13.7061     14.9389    0.204983
          22     15.3305     14.9567    0.196437
          23     13.2755     14.8836    0.201036
