# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0256496           0           0
   0.0512993           0           0
   0.0769489           0           0
    0.102599           0           0
    0.128248           0           0
    0.153898           0           0
    0.179547           0           0
    0.205197           0           0
    0.230847           0           0
    0.256496           0           0
    0.282146           0           0
    0.307796           0           0
    0.333445           0           0
    0.359095           0           0
    0.384745           0           0
    0.410394           0           0
    0.436044           0           0
    0.461694           0           0
    0.487343           0           0
    0.512993           0           0
    0.538642           0           0
    0.564292           0           0
    0.589942           0           0
    0.615591           0           0
    0.641241           0           0
    0.666891           0           0
     0.69254           0           0
     0.71819           0           0
     0.74384           0           0
    0.769489           0           0
    0.795139           0           0
    0.820788           0           0
    0.846438           0           0
    0.872088 1.14632e-05 6.38241e-06
    0.897737  0.00162397 8.05245e-05
    0.923387   0.0260398 0.000337714
    0.949037    0.162672    0.001044
    0.974686      0.5362  0.00203207
     1.00034     1.10847  0.00282338
     1.02599     1.70943  0.00396151
     1.05164     2.14229   0.0042953
     1.07728     2.35569  0.00234891
     1.10293     2.36496  0.00298395
     1.12858     2.25221  0.00299141
     1.15423     2.06686  0.00274867
     1.17988     1.86583  0.00315478
     1.20553     1.66954  0.00311958
     1.23118     1.48679  0.00258672
     1.25683     1.32485   0.0018282
     1.28248     1.19187  0.00215325
     1.30813     1.07651  0.00231489
     1.33378    0.981258  0.00189738
     1.35943    0.899173  0.00199775
     1.38508    0.834712  0.00183773
     1.41073    0.777284  0.00197037
     1.43638    0.733305  0.00110663
     1.46203    0.696065  0.00115495
     1.48768    0.668643  0.00163099
     1.51333    0.647331  0.00167798
     1.53898    0.631858  0.00166017
     1.56463     0.62339  0.00172683
     1.59028    0.620128  0.00172431
     1.61593    0.619621  0.00165948
     1.64158    0.626703  0.00175686
     1.66723    0.638682  0.00171306
     1.69288     0.65376  0.00134831
     1.71853    0.676273  0.00182934
     1.74418    0.698666  0.00155254
     1.76983    0.729199  0.00123618
     1.79547    0.761896  0.00147452
     1.82112    0.795409  0.00187766
     1.84677    0.834173  0.00174183
     1.87242    0.871004  0.00152992
     1.89807    0.908286  0.00161092
     1.92372    0.943683  0.00145175
     1.94937    0.980552  0.00151642
     1.97502     1.01435  0.00125908
     2.00067     1.04659  0.00112064
     2.02632     1.07277  0.00134256
     2.05197     1.09681  0.00135643
     2.07762     1.11147  0.00121641
     2.10327      1.1234  0.00129364
     2.12892     1.12647  0.00136024
     2.15457     1.12306  0.00136278
     2.18022     1.11066  0.00155242
     2.20587     1.09355  0.00112188
     2.23152     1.07223  0.00158914
     2.25717     1.04967  0.00098671
     2.28282     1.02521  0.00103356
     2.30847    0.997923  0.00122468
     2.33412    0.972914  0.00121435
     2.35977    0.947263  0.00116566
     2.38542    0.926145  0.00111284
     2.41107    0.905174  0.00119385
     2.43672    0.886848  0.00101929
     2.46237    0.869772  0.00101486
     2.48802    0.857371  0.00106182
     2.51366    0.844708 0.000733504
     2.53931    0.837857  0.00101317
