# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0256496           0           0
   0.0512993           0           0
   0.0769489           0           0
    0.102599           0           0
    0.128248           0           0
    0.153898           0           0
    0.179547           0           0
    0.205197           0           0
    0.230847           0           0
    0.256496           0           0
    0.282146           0           0
    0.307796           0           0
    0.333445           0           0
    0.359095           0           0
    0.384745           0           0
    0.410394           0           0
    0.436044           0           0
    0.461694           0           0
    0.487343           0           0
    0.512993           0           0
    0.538642           0           0
    0.564292           0           0
    0.589942           0           0
    0.615591           0           0
    0.641241           0           0
    0.666891           0           0
     0.69254           0           0
     0.71819           0           0
     0.74384           0           0
    0.769489           0           0
    0.795139           0           0
    0.820788           0           0
    0.846438           0           0
    0.872088           0           0
    0.897737  0.00117792   0.0001606
    0.923387    0.022359 0.000824107
    0.949037    0.157877  0.00210451
    0.974686    0.517947  0.00341662
     1.00034     1.10373  0.00625377
     1.02599      1.7105   0.0115195
     1.05164     2.16141    0.010091
     1.07728     2.37561   0.0107995
     1.10293      2.3816   0.0105857
     1.12858     2.28242  0.00901374
     1.15423     2.06729  0.00610352
     1.17988     1.87482   0.0117264
     1.20553     1.67189  0.00787965
     1.23118     1.49094  0.00815788
     1.25683     1.31649  0.00651337
     1.28248     1.18201    0.006713
     1.30813     1.05254  0.00497154
     1.33378    0.963917  0.00630652
     1.35943     0.88708  0.00643641
     1.38508    0.821201  0.00559574
     1.41073    0.769299  0.00541054
     1.43638    0.720301   0.0039534
     1.46203    0.684102  0.00467197
     1.48768    0.670176  0.00396483
     1.51333    0.642675  0.00443749
     1.53898    0.626964  0.00428462
     1.56463    0.625794  0.00358236
     1.59028    0.626161   0.0034916
     1.61593    0.620133  0.00355846
     1.64158    0.631975  0.00225717
     1.66723    0.642754  0.00348916
     1.69288    0.659959  0.00376807
     1.71853    0.681566  0.00381154
     1.74418    0.707127  0.00401204
     1.76983    0.736732  0.00401346
     1.79547    0.759861  0.00460803
     1.82112    0.795786  0.00501362
     1.84677    0.834264  0.00404819
     1.87242    0.867569  0.00409886
     1.89807    0.912692  0.00487194
     1.92372    0.954309  0.00453451
     1.94937    0.991895  0.00398629
     1.97502      1.0315  0.00421664
     2.00067     1.05945  0.00393107
     2.02632     1.08379  0.00401772
     2.05197     1.10632  0.00455649
     2.07762     1.11319  0.00384625
     2.10327     1.12158  0.00385176
     2.12892     1.12199  0.00495641
     2.15457      1.1192  0.00367159
     2.18022     1.10066  0.00407956
     2.20587     1.08482  0.00472347
     2.23152     1.06874   0.0035176
     2.25717     1.04748  0.00417305
     2.28282     1.01983  0.00399766
     2.30847    0.986636  0.00498662
     2.33412    0.963371   0.0037226
     2.35977    0.937834  0.00510346
     2.38542    0.907848  0.00395172
     2.41107    0.887252  0.00362385
     2.43672    0.868691  0.00354964
     2.46237    0.857369  0.00425558
     2.48802    0.846733  0.00451581
     2.51366    0.840678  0.00388248
     2.53931    0.834477  0.00332938
