#DISTANCE:      BLOCK_NUMBER:        AVE_GOFR:
           0           1           0
   0.0256496           1           0
   0.0512993           1           0
   0.0769489           1           0
    0.102599           1           0
    0.128248           1           0
    0.153898           1           0
    0.179547           1           0
    0.205197           1           0
    0.230847           1           0
    0.256496           1           0
    0.282146           1           0
    0.307796           1           0
    0.333445           1           0
    0.359095           1           0
    0.384745           1           0
    0.410394           1           0
    0.436044           1           0
    0.461694           1           0
    0.487343           1           0
    0.512993           1           0
    0.538642           1           0
    0.564292           1           0
    0.589942           1           0
    0.615591           1           0
    0.641241           1           0
    0.666891           1           0
     0.69254           1           0
     0.71819           1           0
     0.74384           1           0
    0.769489           1           0
    0.795139           1           0
    0.820788           1           0
    0.846438           1           0
    0.872088           1           0
    0.897737           1 0.000519671
    0.923387           1    0.020278
    0.949037           1    0.154115
    0.974686           1    0.513569
     1.00034           1     1.09266
     1.02599           1     1.73832
     1.05164           1     2.12532
     1.07728           1      2.3191
     1.10293           1     2.40311
     1.12858           1     2.31925
     1.15423           1     2.03761
     1.17988           1     1.77726
     1.20553           1     1.66415
     1.23118           1     1.47512
     1.25683           1     1.30989
     1.28248           1     1.21898
     1.30813           1     1.07327
     1.33378           1     1.01347
     1.35943           1    0.917453
     1.38508           1    0.827114
     1.41073           1    0.803194
     1.43638           1    0.741966
     1.46203           1    0.711696
     1.48768           1    0.705275
     1.51333           1    0.654681
     1.53898           1    0.609912
     1.56463           1     0.63809
     1.59028           1    0.624192
     1.61593           1    0.616477
     1.64158           1    0.622305
     1.66723           1    0.617697
     1.69288           1    0.636631
     1.71853           1    0.651581
     1.74418           1    0.664066
     1.76983           1    0.722179
     1.79547           1    0.751175
     1.82112           1    0.793994
     1.84677           1    0.837783
     1.87242           1    0.856211
     1.89807           1    0.913848
     1.92372           1    0.964025
     1.94937           1    0.997183
     1.97502           1     1.03541
     2.00067           1     1.05193
     2.02632           1     1.09772
     2.05197           1     1.11012
     2.07762           1     1.12004
     2.10327           1     1.11831
     2.12892           1     1.12098
     2.15457           1     1.08089
     2.18022           1      1.1028
     2.20587           1     1.09653
     2.23152           1     1.06864
     2.25717           1     1.04105
