#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.62564     1.62564           0
           2     1.65037     1.63801  0.00874605
           3     1.62488     1.63363  0.00683781
           4     1.62836     1.63231  0.00525368
           5     1.64398     1.63465   0.0046927
           6     1.61398      1.6312   0.0050178
           7     1.62283     1.63001  0.00444142
           8     1.59342     1.62543  0.00577985
           9     1.62458     1.62534  0.00513841
          10     1.63168     1.62597  0.00466349
          11     1.60562     1.62412  0.00459183
          12     1.61508     1.62337  0.00427057
          13     1.63183     1.62402  0.00399137
          14     1.58159     1.62099   0.0047185
          15     1.63718     1.62207  0.00452578
          16     1.61482     1.62162  0.00426556
          17     1.62237     1.62166  0.00401488
          18     1.61332      1.6212  0.00381845
          19     1.64826     1.62262  0.00387398
          20     1.64484     1.62373  0.00383634
