# VELOCITY:     AVE_POFV:        ERROR:
           0  0.00426994 0.000385866
        0.13    0.026964   0.0013873
        0.26   0.0709936  0.00195956
        0.39     0.13552  0.00253703
        0.52    0.205753  0.00328226
        0.65    0.281681  0.00359321
        0.78    0.361838   0.0032618
        0.91    0.428447  0.00409436
        1.04    0.484117  0.00355062
        1.17    0.529792  0.00409242
         1.3    0.553684  0.00441358
        1.43    0.562233   0.0049312
        1.56    0.552657  0.00462692
        1.69    0.532164  0.00477645
        1.82     0.48976  0.00415378
        1.95    0.449678  0.00558304
        2.08    0.395969  0.00439162
        2.21    0.339872  0.00433712
        2.34    0.288504  0.00355819
        2.47    0.237228  0.00265164
         2.6    0.191131  0.00240176
        2.73    0.151033  0.00194824
        2.86    0.114443  0.00256049
        2.99   0.0856945  0.00196608
        3.12   0.0658601  0.00176352
        3.25   0.0475641  0.00163265
        3.38   0.0346866  0.00137974
        3.51   0.0244943  0.00110377
        3.64   0.0155556  0.00101333
        3.77   0.0109224 0.000643844
         3.9  0.00736646 0.000479617
        4.03  0.00511574 0.000385836
        4.16  0.00303953 0.000302992
        4.29   0.0020406 0.000225221
        4.42 0.000934829 0.000188172
        4.55 0.000587606 0.000137823
        4.68 0.000352564 0.000122667
        4.81 0.000129986 6.06081e-05
        4.94 8.90315e-06 8.67772e-06
        5.07  1.4245e-05 1.38843e-05
         5.2 1.78062e-05 1.73554e-05
        5.33 0.000128205 0.000124959
        5.46  6.5883e-05 6.42148e-05
        5.59           0           0
        5.72           0           0
        5.85           0           0
        5.98           0           0
        6.11           0           0
        6.24           0           0
        6.37           0           0
         6.5           0           0
        6.63           0           0
        6.76           0           0
        6.89           0           0
        7.02           0           0
        7.15           0           0
        7.28           0           0
        7.41           0           0
        7.54           0           0
        7.67           0           0
         7.8           0           0
        7.93           0           0
        8.06           0           0
        8.19           0           0
        8.32           0           0
        8.45           0           0
        8.58           0           0
        8.71           0           0
        8.84           0           0
        8.97           0           0
         9.1           0           0
        9.23           0           0
        9.36           0           0
        9.49           0           0
        9.62           0           0
        9.75           0           0
        9.88           0           0
       10.01           0           0
       10.14           0           0
       10.27           0           0
        10.4           0           0
       10.53           0           0
       10.66           0           0
       10.79           0           0
       10.92           0           0
       11.05           0           0
       11.18           0           0
       11.31           0           0
       11.44           0           0
       11.57           0           0
        11.7           0           0
       11.83           0           0
       11.96           0           0
       12.09           0           0
       12.22           0           0
       12.35           0           0
       12.48           0           0
       12.61           0           0
       12.74           0           0
       12.87           0           0
