#DISTANCE:      BLOCK_NUMBER:        AVE_POFV:
           0           1  0.00405983
        0.13           1   0.0247151
        0.26           1   0.0641026
        0.39           1     0.12411
        0.52           1    0.175605
        0.65           1    0.245299
        0.78           1    0.340313
        0.91           1    0.404309
        1.04           1    0.473469
        1.17           1    0.543519
         1.3           1    0.588853
        1.43           1    0.595833
        1.56           1    0.584687
        1.69           1     0.55666
        1.82           1    0.501246
        1.95           1    0.470905
        2.08           1    0.391453
        2.21           1    0.357942
        2.34           1    0.276994
        2.47           1    0.235791
         2.6           1    0.201104
        2.73           1    0.148006
        2.86           1    0.115812
        2.99           1   0.0751068
        3.12           1   0.0549501
        3.25           1   0.0387108
        3.38           1   0.0379986
        3.51           1   0.0185541
        3.64           1   0.0110043
        3.77           1   0.0104345
         3.9           1  0.00722934
        4.03           1  0.00491453
        4.16           1  0.00384615
        4.29           1  0.00167379
        4.42           1  0.00178063
        4.55           1  0.00131766
        4.68           1           0
        4.81           1           0
        4.94           1           0
        5.07           1           0
         5.2           1           0
        5.33           1           0
        5.46           1           0
        5.59           1           0
        5.72           1           0
        5.85           1           0
        5.98           1           0
        6.11           1           0
        6.24           1           0
        6.37           1           0
         6.5           1           0
        6.63           1           0
        6.76           1           0
        6.89           1           0
        7.02           1           0
        7.15           1           0
        7.28           1           0
        7.41           1           0
        7.54           1           0
        7.67           1           0
           0           2  0.00331197
        0.13           2   0.0174501
        0.26           2   0.0673433
        0.39           2    0.130306
        0.52           2    0.183832
        0.65           2    0.263889
        0.78           2     0.34911
        0.91           2    0.400214
        1.04           2    0.459295
        1.17           2     0.50552
         1.3           2    0.573184
        1.43           2    0.555627
        1.56           2    0.558903
        1.69           2    0.560399
        1.82           2    0.507194
        1.95           2    0.483226
        2.08           2    0.415527
        2.21           2     0.34448
        2.34           2     0.30609
        2.47           2    0.247507
         2.6           2    0.199608
        2.73           2    0.146973
        2.86           2    0.112144
        2.99           2   0.0922721
        3.12           2    0.068661
        3.25           2   0.0445157
        3.38           2   0.0301282
        3.51           2   0.0257479
        3.64           2   0.0141738
        3.77           2  0.00836895
         3.9           2  0.00972222
        4.03           2  0.00363248
        4.16           2 0.000498575
        4.29           2 0.000997151
        4.42           2 0.000641026
        4.55           2 0.000569801
        4.68           2  0.00103276
        4.81           2 0.000213675
        4.94           2           0
        5.07           2           0
         5.2           2           0
        5.33           2           0
        5.46           2           0
        5.59           2           0
        5.72           2           0
        5.85           2           0
        5.98           2           0
        6.11           2           0
        6.24           2           0
        6.37           2           0
         6.5           2           0
        6.63           2           0
        6.76           2           0
        6.89           2           0
        7.02           2           0
        7.15           2           0
        7.28           2           0
        7.41           2           0
        7.54           2           0
        7.67           2           0
           0           3  0.00381054
        0.13           3   0.0250356
        0.26           3   0.0709758
        0.39           3    0.133725
        0.52           3    0.204345
        0.65           3    0.294516
        0.78           3    0.370085
        0.91           3     0.43604
        1.04           3    0.489281
        1.17           3    0.509865
         1.3           3    0.570762
        1.43           3     0.55438
        1.56           3     0.54391
        1.69           3    0.512999
        1.82           3    0.477991
        1.95           3    0.412749
        2.08           3    0.405377
        2.21           3    0.376745
        2.34           3    0.300748
        2.47           3    0.233369
         2.6           3     0.19302
        2.73           3    0.149608
        2.86           3    0.123575
        2.99           3   0.0819801
        3.12           3   0.0703348
        3.25           3   0.0448718
        3.38           3   0.0313746
        3.51           3   0.0285613
        3.64           3   0.0128561
        3.77           3  0.00918803
         3.9           3  0.00925926
        4.03           3  0.00584046
        4.16           3  0.00334758
        4.29           3  0.00178063
        4.42           3           0
        4.55           3           0
        4.68           3           0
        4.81           3           0
        4.94           3           0
        5.07           3           0
         5.2           3           0
        5.33           3           0
        5.46           3           0
        5.59           3           0
        5.72           3           0
        5.85           3           0
        5.98           3           0
        6.11           3           0
        6.24           3           0
        6.37           3           0
         6.5           3           0
        6.63           3           0
        6.76           3           0
        6.89           3           0
        7.02           3           0
        7.15           3           0
        7.28           3           0
        7.41           3           0
        7.54           3           0
        7.67           3           0
           0           4  0.00334758
        0.13           4   0.0277422
        0.26           4   0.0743946
        0.39           4     0.12963
        0.52           4    0.185969
        0.65           4    0.281481
        0.78           4    0.365812
        0.91           4     0.44651
        1.04           4     0.45958
        1.17           4    0.532657
         1.3           4    0.553276
        1.43           4    0.564138
        1.56           4    0.567984
        1.69           4    0.530805
        1.82           4    0.468519
        1.95           4    0.451887
