#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -5.0884     -5.0884           0
           2    -5.05741     -5.0729   0.0109569
           3    -5.04906    -5.06495  0.00977015
           4    -5.07009    -5.06624  0.00741158
           5    -5.07526    -5.06804  0.00614488
           6    -5.07339    -5.06893  0.00518488
           7     -5.0538    -5.06677  0.00487422
           8    -5.07462    -5.06775   0.0043625
           9     -5.0805    -5.06917  0.00410132
          10    -5.06893    -5.06914  0.00369126
          11     -5.0755    -5.06972  0.00340063
          12    -5.06741    -5.06953  0.00312271
          13    -5.06752    -5.06937  0.00288634
          14     -5.0587    -5.06861  0.00277899
          15    -5.05686    -5.06783  0.00270197
          16    -5.05889    -5.06727  0.00259022
          17    -5.05841    -5.06675  0.00248972
          18    -5.06318    -5.06655  0.00235929
          19    -5.04884    -5.06562  0.00241224
          20    -5.06612    -5.06564  0.00229176
