#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.46734    -5.46734           0
           2      -5.475    -5.47117   0.0027106
           3    -5.47082    -5.47105  0.00180957
           4    -5.47521    -5.47209  0.00162865
           5    -5.45073    -5.46782  0.00403795
           6    -5.47718    -5.46938  0.00365373
           7     -5.4863     -5.4718  0.00384908
           8    -5.47715    -5.47246  0.00342559
           9      -5.455    -5.47052  0.00355251
          10    -5.45566    -5.46904  0.00349439
          11    -5.46798    -5.46894  0.00317804
          12    -5.45833    -5.46806  0.00303365
          13    -5.45841    -5.46732  0.00288956
          14    -5.44671    -5.46584  0.00303491
          15    -5.46559    -5.46583  0.00283263
          16    -5.48045    -5.46674  0.00279923
          17    -5.47123      -5.467  0.00264699
          18    -5.46644    -5.46697  0.00250012
          19    -5.47102    -5.46719  0.00237758
          20    -5.47647    -5.46765  0.00230353
