#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.47779    -5.47779           0
           2    -5.50185    -5.48982  0.00850349
           3    -5.47794    -5.48586  0.00652579
           4    -5.47959    -5.48429  0.00507913
           5    -5.49617    -5.48667  0.00458529
           6    -5.46528     -5.4831  0.00501929
           7    -5.47408    -5.48182  0.00446457
           8    -5.44443    -5.47714  0.00586254
           9    -5.47529    -5.47694  0.00521476
          10    -5.48466    -5.47771  0.00475015
          11    -5.45841    -5.47595  0.00463101
          12    -5.46662    -5.47518  0.00430991
          13    -5.48271    -5.47576  0.00401714
          14    -5.43114    -5.47257  0.00483171
          15    -5.48904    -5.47367  0.00463268
          16    -5.46612     -5.4732  0.00436705
          17    -5.47267    -5.47316  0.00411027
          18    -5.46425    -5.47267  0.00391167
          19    -5.49956    -5.47408  0.00395355
          20    -5.49499    -5.47513  0.00389156
