#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.02487     1.02487           0
           2     1.19404     1.10945   0.0598114
           3     1.23244     1.15045   0.0520611
           4     1.10635     1.13942   0.0401961
           5     1.09777     1.13109   0.0330091
           6     1.09567     1.12519   0.0280304
           7     1.23166      1.1404   0.0278486
           8     1.09974     1.13532   0.0248271
           9     1.10788     1.13227   0.0222549
          10     1.11795     1.13084   0.0200754
          11      1.0721      1.1255   0.0189472
          12     1.18671      1.1306    0.018042
          13     1.12327     1.13003    0.016663
          14     1.18691      1.1341   0.0159603
          15     1.22709      1.1403   0.0160552
          16     1.21944     1.14524   0.0157953
          17     1.21879     1.14957   0.0154473
          18     1.13999     1.14904   0.0145983
          19     1.23099     1.15335   0.0144531
          20     1.14036      1.1527    0.013745
