#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.36943     1.36943           0
           2     1.36077      1.3651  0.00306208
           3     1.35795     1.36272  0.00282116
           4     1.35309     1.36031  0.00296973
           5      1.4822     1.38469    0.021934
           6     1.33496      1.3764   0.0197824
           7     1.28757     1.36371   0.0206288
           8     1.31426     1.35753   0.0189538
           9     1.44726      1.3675   0.0192924
          10     1.43797     1.37455   0.0186058
          11     1.39004     1.37596   0.0169676
          12     1.41252       1.379   0.0158249
          13     1.46025     1.38525   0.0157936
          14     1.46745     1.39112    0.015719
          15     1.40347     1.39195   0.0146926
          16     1.34385     1.38894   0.0140785
          17      1.3463     1.38643   0.0134719
          18     1.37673     1.38589   0.0127342
          19     1.36795     1.38495    0.012099
          20     1.34735     1.38307   0.0116392
