#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.28963     1.28963           0
           2     1.20387     1.24675   0.0303208
           3       1.306      1.2665   0.0258572
           4     1.34736     1.28672   0.0261267
           5     1.20142     1.26966   0.0258786
           6     1.39064     1.28982   0.0283531
           7     1.36308     1.30029   0.0261631
           8     1.46429     1.32079    0.029863
           9     1.42775     1.33267   0.0288131
          10     1.30975     1.33038   0.0260228
          11     1.44027     1.34037   0.0255026
          12     1.30741     1.33762   0.0235248
          13     1.40323     1.34267   0.0222501
          14     1.51738     1.35515   0.0239057
          15      1.2384     1.34736   0.0235449
          16     1.39427      1.3503   0.0222551
          17     1.30244     1.34748   0.0211233
          18     1.45547     1.35348   0.0207843
          19     1.22973     1.34697   0.0206857
          20     1.31282     1.34526   0.0197217
