#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.08376     1.08376           0
           2     1.10025       1.092   0.0058307
           3     1.08325     1.08909  0.00455854
           4     1.08557     1.08821  0.00350245
           5     1.09599     1.08976  0.00312847
           6     1.07599     1.08747   0.0033452
           7     1.08188     1.08667  0.00296094
           8     1.06228     1.08362  0.00385323
           9     1.08306     1.08356  0.00342561
          10     1.08778     1.08398  0.00310899
          11     1.07041     1.08275  0.00306122
          12     1.07672     1.08225  0.00284705
          13     1.08789     1.08268  0.00266091
          14      1.0544     1.08066  0.00314567
          15     1.09146     1.08138  0.00301719
          16     1.07654     1.08108  0.00284371
          17     1.08158     1.08111  0.00267658
          18     1.07555      1.0808  0.00254563
          19     1.09884     1.08175  0.00258265
          20     1.09656     1.08249  0.00255756
