#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1           2           2           0
           2      1.9999     1.99995 3.51542e-05
           3      1.9996     1.99983 9.75993e-05
           4      1.9991     1.99965 0.000174157
           5     1.99841      1.9994  0.00026281
           6     1.99751     1.99909 0.000362304
           7      1.9964      1.9987 0.000471809
           8     1.99509     1.99825 0.000590752
           9     1.99357     1.99773 0.000718738
          10     1.99183     1.99714 0.000855494
          11     1.98987     1.99648  0.00100084
          12     1.98769     1.99575  0.00115469
          13     1.98528     1.99494  0.00131698
          14     1.98263     1.99406  0.00148773
          15     1.97974     1.99311  0.00166698
          16      1.9766     1.99208  0.00185484
          17      1.9732     1.99097  0.00205141
          18     1.96953     1.98978  0.00225685
          19     1.96558      1.9885  0.00247133
          20     1.96135     1.98714  0.00269505
          21     1.95682      1.9857  0.00292822
          22     1.95198     1.98417  0.00317108
          23     1.94682     1.98254  0.00342389
          24     1.94132     1.98083  0.00368691
          25      1.9355     1.97901  0.00396016
          26     1.92934      1.9771  0.00424377
          27      1.9228     1.97509  0.00453817
          28     1.91588     1.97298  0.00484377
          29     1.90856     1.97076  0.00516095
          30     1.90083     1.96842  0.00549008
          31     1.89267     1.96598  0.00583155
          32     1.88406     1.96342  0.00618572
          33       1.875     1.96074  0.00655293
          34     1.86546     1.95794  0.00693355
          35     1.85544     1.95501  0.00732791
          36      1.8449     1.95195  0.00773636
          37     1.83385     1.94876  0.00815921
          38     1.82226     1.94543  0.00859678
          39     1.81013     1.94196  0.00904938
          40     1.79742     1.93835  0.00951728
          41     1.78414     1.93459   0.0100008
          42     1.77027     1.93067   0.0105001
          43     1.75579     1.92661   0.0110154
          44      1.7407     1.92238    0.011547
          45     1.72498       1.918   0.0120949
          46     1.70864     1.91344   0.0126594
          47      1.6917     1.90873     0.01324
          48     1.67415     1.90384   0.0138368
          49     1.65596     1.89878   0.0144496
          50     1.63712     1.89355   0.0150785
          51     1.61762     1.88814   0.0157236
          52     1.59748     1.88255   0.0163846
          53     1.57669     1.87678   0.0170615
          54     1.55527     1.87082    0.017754
          55     1.53323     1.86469   0.0184618
          56     1.51058     1.85836   0.0191844
          57     1.48735     1.85185   0.0199215
          58     1.46355     1.84516   0.0206724
          59     1.43922     1.83828   0.0214364
          60     1.41438     1.83121   0.0222129
