#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.85216    -3.85216           0
           2    -3.85147    -3.85181 0.000242563
           3    -3.85306    -3.85223 0.000376049
           4    -3.85123    -3.85198   0.0003558
           5    -3.85219    -3.85202 0.000287094
           6     -3.8513     -3.8519 0.000263526
           7    -3.85126    -3.85181 0.000241292
           8    -3.85101    -3.85171 0.000230721
           9    -3.85071     -3.8516 0.000230509
          10    -3.85299    -3.85174 0.000245687
          11    -3.85279    -3.85183 0.000241194
          12    -3.85154    -3.85181 0.000222307
          13    -3.85088    -3.85174 0.000216425
          14    -3.84955    -3.85158 0.000251227
          15    -3.85185     -3.8516 0.000235142
          16    -3.85131    -3.85158 0.000221145
          17     -3.8503     -3.8515 0.000220546
          18    -3.85092    -3.85147 0.000210643
          19     -3.8513    -3.85146 0.000199744
          20    -3.85014     -3.8514 0.000200392
