# qui scrivo tutti i valori che mi interessano: 
#stiamo per iniziare: 
0.1  0.522718 0.036987 0.568218 1.48545#stiamo per iniziare: 
0.5  1.80082 0.200837 0.393267 1.41359#stiamo per iniziare: 
1  -0.375065 0.0155931 0.346733 1.16185#stiamo per iniziare: 
2  -0.15559 0.0193107 0.359307 0.831259#stiamo per iniziare: 
5  0.472405 0.03264 0.343465 0.55647#stiamo per iniziare: 
10  -0.44434 0.00575089 0.347525 0.349703#stiamo per iniziare: 
20  -0.407707 0.014576 0.473168 0.14391#stiamo per iniziare: 
50  -0.431878 0.00787255 0.502376 0.0733002#stiamo per iniziare: 
100  -0.450141 0.00868351 0.59396 0.0216751#stiamo per iniziare: 
300  -0.431328 0.0102053 0.324752 -0.00592083
