#BLOCK:      H_AVE:      ERROR:
1   -0.459596           0
2   -0.450099  0.00949746
3   -0.430166    0.020673
4    -0.43111   0.0146485
5    -0.42714   0.0120211
6   -0.425446  0.00996027
7   -0.430824  0.00998921
8   -0.433209  0.00897355
9   -0.434055  0.00795906
10   -0.438097  0.00818631
11   -0.441181  0.00802138
12   -0.439368  0.00754358
13   -0.441155  0.00716529
14   -0.442458  0.00676057
15   -0.440297  0.00665424
16   -0.437124  0.00698666
17   -0.436599  0.00658378
18   -0.437531  0.00627675
19   -0.434471  0.00667917
20    -0.43398  0.00635546
21   -0.434819  0.00610323
22   -0.434972  0.00582123
23   -0.435726   0.0056132
24   -0.434916  0.00543488
25   -0.435269  0.00522486
26   -0.436361  0.00513721
27   -0.437317  0.00503497
28   -0.437952   0.0048932
29   -0.438667  0.00477532
30   -0.439031  0.00462771
31   -0.437526  0.00472214
32    -0.43728  0.00457884
33   -0.437495  0.00444316
34   -0.437613  0.00431209
35   -0.437647  0.00418722
36   -0.438127  0.00409741
37    -0.43879  0.00403989
38   -0.439167   0.0039502
39   -0.439548   0.0038664
40   -0.439782  0.00377575
41    -0.43996  0.00368681
42    -0.43971  0.00360661
43    -0.43976  0.00352209
44    -0.43963  0.00344355
45   -0.439002   0.0034243
46   -0.438741  0.00335921
47   -0.438082  0.00335228
48   -0.438524  0.00331131
49    -0.43902  0.00328077
50   -0.439161  0.00321755
51   -0.439435  0.00316575
52    -0.43944  0.00310428
53   -0.439671  0.00305389
54   -0.439959  0.00301061
55   -0.439587  0.00297873
56   -0.438731  0.00304753
57   -0.439056  0.00301115
58   -0.439351  0.00297342
59   -0.439674  0.00294038
60   -0.439869  0.00289757
61   -0.440186   0.0028672
62   -0.440716  0.00286986
63   -0.441484  0.00292669
64   -0.441413  0.00288147
65   -0.441398  0.00283684
66   -0.441584  0.00279972
67   -0.441746  0.00276235
68   -0.441662  0.00272272
69   -0.441659  0.00268297
70   -0.441672   0.0026444
71   -0.440816  0.00274379
72   -0.440957  0.00270906
73    -0.44094  0.00267175
74    -0.44026  0.00272155
75   -0.440416  0.00268952
76   -0.440493  0.00265502
77   -0.440382  0.00262266
78   -0.440421  0.00258911
79    -0.44052  0.00255804
80   -0.440872   0.0025503
81   -0.440922  0.00251912
82   -0.440565  0.00251368
83   -0.440398  0.00248886
84   -0.440338  0.00245976
85   -0.440327  0.00243068
86   -0.440162  0.00240788
87   -0.440148  0.00238008
88   -0.440272  0.00235615
89   -0.440156  0.00233244
90   -0.440465  0.00232701
91   -0.440674  0.00231083
92   -0.441022  0.00231181
93   -0.441124  0.00228911
94   -0.441455  0.00228869
95   -0.441802   0.0022909
96   -0.441445  0.00229489
97   -0.441585  0.00227544
98   -0.441709  0.00225549
99   -0.441823  0.00223551
100   -0.441894  0.00221417
